repo,number,state,duration_hours,additions,deletions,changed_files,body_len,participants,comments,reviews
repo_example,1,MERGED,36.16750274001116,120,140,2,253,3,54,28
repo_example,2,CLOSED,342.0387194824233,34,208,5,115,7,632,317
repo_example,3,CLOSED,112.62092624169426,145,20,2,478,5,61,31
repo_example,4,MERGED,12.010357992944055,263,6,3,507,6,104,52
repo_example,5,MERGED,8.165812444098373,171,39,6,10,5,62,33
repo_example,6,MERGED,43.308842812503954,107,7,4,114,3,6,4
repo_example,7,MERGED,4.922290554010729,247,409,2,10,5,187,94
repo_example,8,CLOSED,324.1704499266697,345,24,3,169,5,219,111
repo_example,9,MERGED,98.82809979660189,397,11,3,283,6,271,134
repo_example,10,CLOSED,20.5017071016891,158,26,3,10,9,2859,1432
repo_example,11,MERGED,3.071888120268785,38,2,3,115,3,3,1
repo_example,12,CLOSED,182.7585325819037,74,4,15,99,7,390,195
repo_example,13,CLOSED,31.376873981207318,366,121,6,341,5,82,40
repo_example,14,MERGED,105.99939692574306,14,7,3,313,5,49,25
repo_example,15,MERGED,3.542173918007143,86,4,7,155,4,28,14
repo_example,16,MERGED,11.690818648027799,27,44,3,335,4,25,12
repo_example,17,MERGED,24.15149468760765,52,118,10,190,5,38,19
repo_example,18,MERGED,25.39190805780601,340,58,5,245,5,147,74
repo_example,19,MERGED,13.984859282504196,66,89,3,634,4,12,6
repo_example,20,MERGED,50.67708059741323,53,6,5,568,5,102,54
repo_example,21,MERGED,6.665262349281831,6,2,1,40,3,9,4
repo_example,22,MERGED,20.230643266424586,153,190,1,465,3,30,15
repo_example,23,MERGED,27.727053255497783,131,12,1,462,5,41,21
repo_example,24,MERGED,44.4951605342281,1282,13,4,70,7,800,398
repo_example,25,MERGED,56.373076869118904,31,146,17,463,4,50,26
repo_example,26,CLOSED,9.3366585217988,82,46,28,607,5,55,29
repo_example,27,MERGED,3.8080483944129035,72,39,6,75,4,19,8
repo_example,28,MERGED,111.19284282117488,532,514,5,116,6,568,285
repo_example,29,MERGED,35.76002483240139,43,7,1,503,4,82,42
repo_example,30,MERGED,9.775409391522295,75,80,2,354,6,323,162
repo_example,31,MERGED,154.382949528051,124,21,2,410,5,93,46
repo_example,32,MERGED,27.573726791266328,66,29,2,368,5,104,52
repo_example,33,MERGED,98.81114986040608,25,198,3,378,6,129,66
repo_example,34,CLOSED,39.038218044384095,79,42,2,34,6,204,104
repo_example,35,CLOSED,426.84307862282935,300,44,1,509,6,90,47
repo_example,36,CLOSED,295.8723020920332,12,99,7,533,6,215,109
repo_example,37,MERGED,17.801751514943955,61,11,2,254,4,34,17
repo_example,38,MERGED,77.01028400893813,17,5,4,291,3,34,17
repo_example,39,MERGED,52.06562644298977,300,4,24,10,5,122,63
repo_example,40,MERGED,124.01613763893734,5,1,2,402,4,30,14
repo_example,41,MERGED,7.5394231791298845,21,437,1,414,5,72,36
repo_example,42,MERGED,54.67002566424516,88,3,3,287,5,82,40
repo_example,43,MERGED,85.46981003369376,523,14,10,524,7,856,428
repo_example,44,CLOSED,4.362440091157856,54,13,22,233,5,64,32
repo_example,45,MERGED,5.8016572827901065,21,31,1,412,5,62,31
repo_example,46,MERGED,2.0771052487051884,840,67,5,96,5,56,27
repo_example,47,MERGED,17.37036562083453,5,72,2,295,4,19,9
repo_example,48,MERGED,56.77547971168581,1,8,3,265,5,55,28
repo_example,49,MERGED,145.6027893005638,96,15,43,345,6,230,113
repo_example,50,MERGED,26.231672818418737,23,30,1,226,6,173,86
repo_example,51,CLOSED,254.1329596228608,12,13,4,273,4,27,14
repo_example,52,CLOSED,6.8716014624696395,172,222,5,465,4,49,27
repo_example,53,CLOSED,4.662072124571372,86,41,9,212,2,3,4
repo_example,54,CLOSED,33.6785689808774,25,60,4,10,4,32,17
repo_example,55,MERGED,38.05119040402098,7,54,5,649,6,128,64
repo_example,56,CLOSED,34.614935152776994,222,116,3,576,5,54,29
repo_example,57,MERGED,2.007968090062537,132,26,4,41,4,66,33
repo_example,58,MERGED,21.565822781534806,43,2,3,437,3,31,14
repo_example,59,MERGED,5.01628906240883,797,36,6,199,5,137,68
repo_example,60,MERGED,53.60599393360101,10,7,3,352,3,5,4
repo_example,61,MERGED,37.2619137410292,5,9,5,358,4,25,13
repo_example,62,MERGED,7.769439977040933,17,48,3,253,2,1,1
repo_example,63,CLOSED,19.431173107337216,55,128,10,143,4,47,25
repo_example,64,MERGED,6.732843759302926,72,20,3,161,2,5,3
repo_example,65,MERGED,22.261058883805376,34,31,1,116,6,139,70
repo_example,66,MERGED,75.50694320067014,84,256,11,133,6,293,148
repo_example,67,MERGED,7.353545477030884,7,28,2,286,5,35,18
repo_example,68,CLOSED,65.91557503624048,523,990,2,156,8,1080,542
repo_example,69,MERGED,12.701812353726867,44,46,2,436,3,10,8
repo_example,70,CLOSED,13.902539756503838,320,1,12,597,6,382,190
repo_example,71,CLOSED,31.660900804963966,99,61,1,183,6,156,78
repo_example,72,MERGED,6.929329418029743,99,35,70,347,4,33,17
repo_example,73,MERGED,12.350229722724675,117,138,9,399,6,216,108
repo_example,74,CLOSED,8.551147353603795,116,54,4,394,3,11,8
repo_example,75,CLOSED,380.38697809792853,157,16,3,315,4,59,29
repo_example,76,CLOSED,37.55607693076127,440,3,4,448,6,59,29
repo_example,77,CLOSED,15.546698933665034,80,14,6,396,4,22,12
repo_example,78,MERGED,31.026129086636857,144,5,6,52,4,26,12
